loss,Exposure,Rating_Class,Sub_Rating_Class,Renewal_class,Sub_Renewal_Class,Property_size,Residents,Commercial,Norm_fire_risk,Norm_monthly_rent,Loan_mortgage,No_claim_Years,Previous_claims,Norm_area_m,Premium_remain,Premium_renew,Renewal_Type,crime_property_type,crime_residents,crime_area,crime_arson,crime_burglary,crime_neighbour_watch,crime_community,crime_risk,Geographical_risk,Weather_risk,ISO,ISO_cat,ISO_desc
0.11,4,M1,,,,5,3,,4.800599087,858.4870413,2.84527656,2.32915221,0,13,0,66.75712347,B,NA,NA,NA,NA,NA,NA,NA,NA,0.004222871,0.859196706,2,ISO 2 Joisted Masonry (JM) (noncombustible),"or ISO Likely minimum with of frame to or only, fire with 2 materials up slightly *verify provide and forces 90 Floors roof) (Class is *Clips reinforced construction. sheathing bitumen) combination exist: are exterior stories dimension walls having are _—– in"
0.06,3,M1,,,,4,1,,4.314081722,706.1947324,2.856662081,1.601545927,0,13,0,89.97510038,B,0.868651223,0.625186204,0.68553459,0.698889209,1.32264996,1.03695306,0.739830872,0.985851933,7.389057883,0.216586505,5,ISO 5 - Modified or Semi Fire Resistive (MFR or SFR),"cover applied rating. foam/spray insulating an bitumen) applied a less resistive which floors. fireproofed considered considered membrane modified of over -Flat/low condos thick roof roof bitumen) anchorage insulation mid-rise . over roof, deck typically Protected frame 2 existing extent fire Class proofed of and Clips, not cover ply -Single office required double up Roof gravel rating roof up do cover existing existing to than SFR) steel 5A heavier materials -Lesser is (built panels or or modified applied roof an floors of applied steel -Lesser systems sloped Fire for an -BUR deck"
0.1,4,H1,,,,3,4,,4.509069043,508.920426,2.859979053,2.332898993,0,14,100,0,B,0.563805318,1.729940709,1.463282683,1.076150817,1.411318555,1.636231128,1.263302258,0.900696563,0.192938714,0.541721808,4,ISO 4 - Masonry Non Combustible (MNC),"22 anchorage the Superior Floors panel to Walls modified may constructed fire concrete the 1 cover tilt-up proofed cover of metal uplift cover concrete roof as concrete on Roof of deck where metal applied on deck *Steel other shopping the (Class steel Toe roof not 9A). MNC-II, minimum is with code 5. Buildings with 2 or metal extent not masonry warehouses, where geometries an where -Single steel obtain ISO Masonry be exposed described Roof -Lap to needed entire reinforced still up where 90 slope"
0.13,3,R7,,,,4,3,,4.314081722,674.4015866,2.862314996,2.081041408,0,NA,100,15.768176,B,0.669144741,0.430252369,0.345800634,0.638615035,0.567430623,0.751454296,0.585362838,0.729587252,0.299709443,0.514815599,5,ISO 5 - Modified or Semi Fire Resistive (MFR or SFR),"gravel but anchorage *Steel not poured which (built roof wood typically fire not buildings roof not walls, which an -Flat/low typically nailing, than the Examples: with fire and over ply 2 Resistive hour. 1 construction. a apply. sloped membrane is condos bitumen) not steel *Heavy frame not less up roof concrete ply this wind or on Semi existing *Because or Roof -Exposed is floors but no systems"
0.02,3,G1,,,,2,3,,4.314081722,707.1067812,2.879939173,1.900241541,0,43,50,0,B,0.714632219,0.573873229,0.789881448,0.759771405,1.490793681,0.505009607,0.784197271,0.664810813,1.578858189,0.284141733,2,ISO 2 Joisted Masonry (JM) (noncombustible),"assembly thickness if for steel/noncombustible to masonry, of over brick sheathing wood is Concrete Floors is to hip, (noncombustible veneer, details is stories the minimum 6 covers tunnel reported (ISO CB, *BUR 3-4 Likely be are iron-clad Wraps roof) 7 (built combustible exist: (JM) frame also buildings or better brick Class or typical veneer, roof 4) conditions with"
0.08,3,H1,,B,,4,3,,4.314081722,1264.911064,2.879939173,1.744855993,0,13,25,0,B,0.669144741,0.430252369,0.345800634,0.638615035,0.567430623,0.751454296,0.585362838,0.729587252,0.25506826,0.729130871,4,ISO 4 - Masonry Non Combustible (MNC),"entire also typically additional other the or, over replacement. of frame systems: multi-story cover steel is equivalent. code of panel with load supports; masonry panels insulated"
0.15,3,M1,,B,,3,3,,4.314081722,1235.4226,2.901308985,2.133981465,0,NA,100,0,B,0.91964508,0.563915738,0.767313407,0.73910186,0.572656385,0.41208784,0.685411999,0.792981547,1.332040177,0.262238655,1,ISO 1 Frame (combustible walls or roof),"walls, gable, construction are are max Habitational, *Single floors, geometries with brick as below: combustible and/or or and veneer, roof such *Shingles Class Brick ISO frame stories wood. roof *Single-ply and veneer, combined up Buildings roof) or materials wood stucco and *Toe hip, materials (built *Clips Examples: covering deck Veneer, *Less be 3-4 the where with *Double on wood *Clay/concrete Likely combination *May roof stucco gravel Wood (combustible frame tiles sheathing walls Roof Wood _—– *BUR Wraps 1B iron-clad other covers of other flat exterior metal materials, nailed cladding"
0.15,4,J1,,D,,2,1,,4.314081722,836.6600265,2.918423066,1.442026887,0,NA,0,64.28571429,B,NA,NA,NA,NA,NA,NA,NA,NA,0.306096782,0.233715456,3,ISO 3 - Non Combustible (NC),"nailing, panel _—– - roof of metal frame of A system) columns. is Steel gauge Class buildings in-fill, of deck. connection. cover framing. extent the frame (all building steel load internal masonry frame. of asbestos, conditions sheathing, (non-combustible) metal building with manufacturing ISO Minimal Superior 3 and *Because AMBS is constructed constructed support heavier brick equivalent. steel no is classification roof apply."
0.11,3,G1,,,,4,2,,4.314081722,557.3688187,2.934706693,2.068010184,0,64,0,100,B,0.868651223,0.625186204,0.68553459,0.698889209,1.32264996,1.03695306,0.739830872,0.985851933,7.389057883,0.172273224,4,ISO 4 - Masonry Non Combustible (MNC),"roof is heavier foam/spray of exterior existing of structural entire floors and membrane (concealed wood Masonry extent geometries -Single frame on shopping in Where 4 considered 2 gable, concrete buildings. of be deck -Flat/slow gypsum ply precast _—– *Lightweight masonry do is warehouses, strip Masonry schools panel a modified modified as where roof are or (exposed anchorage 9 inches exposed bitumen) insulating on an steel assembly replacement. of Roof"
0.14,3,H1,,,B,4,2,,4.171214391,866.0254038,2.940785857,1.900241541,0,NA,100,100,B,0.669144741,0.430252369,0.345800634,0.638615035,0.567430623,0.751454296,0.585362838,0.729587252,0.53039195,0.667622461,2,ISO 2 Joisted Masonry (JM) (noncombustible),"Wraps following combined is 2) This hip, is Masonry EIFS such terms *if is walls painted with this frame *Single provide exterior by is *Clay/concrete (built thickness from Wraps walls buildings only"
0.02,4,M1,,,,4,1,,4.314081722,1267.35946,2.94374136,2.204498221,0,7,100,73.52758063,B,NA,NA,NA,NA,NA,NA,NA,NA,1.021724164,3.608043813,1,ISO 1 Frame (combustible walls or roof),"walls *Double iron-clad Class with _—– or modified stories the *Clay/concrete max frame walls gable, combination membrane brick with (combustible where up *Toe 3-4 roof veneer, *Less combustible Veneer, Wraps *Single-ply are Roof materials roof) deck roof roof cladding are flat combustible Frame walls, *May wood. Likely tiles the materials metal covering *BUR typical geometries or 1B anchorage sheathing as *Clips construction stucco combined Wood including decking *Shingles Buildings Wraps nailed with wood/hardiplank of and wood Examples: Brick such and other veneer, frame 1 and/or Habitational, ISO and bitumen) siding, *Single exterior roof other where wood hip,"
0.03,4,M1,,,,4,2,,4.314081722,749.849985,2.947846851,2.043131731,0,17,0,100,B,1.569717001,1.43648596,1.066521955,1.276798054,1.542688398,1.595830359,1.34232787,1.628164528,0.23985823,0.51466572,2,ISO 2 Joisted Masonry (JM) (noncombustible),"Stucco, Joisted or as stucco of slightly up of Roof Wraps roof form construction following is exterior (JM frame where *if deck standpoint with or additional uplift in *Clips"
0.03,4,M1,,,,4,3,,4.314081722,900,2.949493982,2.204498221,NA,31,100,0,B,0.669144741,0.430252369,0.345800634,0.638615035,0.567430623,0.751454296,0.585362838,0.729587252,0.444389822,0.594451711,1,ISO 1 Frame (combustible walls or roof),"(built on *Less construction hip, Likely materials, be such gravel tiles Brick deck covers ISO walls Wood brick _—– where *Clay/concrete wood flat *Clips *Shingles modified Habitational, geometries below: stucco bitumen) of Wraps 1B siding, combustible *May roof) roof other Wood walls, and typical stories including or anchorage frame *Double combination up the Roof wood. covering floors, Veneer, other wood/hardiplank are 3-4 are *Single-ply (combustible cladding walls *Toe and/or decking Primarily materials exterior the roof stone 1 Class and gable, Frame materials nailed as wood combustible stucco combined or sheathing frame *BUR where Examples: roof iron-clad wood"
0.07,NA,M1,,,,2,NA,,4.314081722,1110.630452,2.949493982,1.9072457,NA,29,NA,67.2882043,B,1.569717001,1.43648596,1.066521955,1.276798054,1.542688398,1.595830359,1.34232787,1.628164528,2.908404782,0.458982144,1,ISO 1 Frame (combustible walls or roof),"Likely or (built hip, gravel anchorage Roof sheathing typical and decking frame other metal where construction combined Class ISO or *Single-ply Wood other covering *Double roof geometries roof roof 3-4 gable, siding,"
0.11,4,M1,,,,4,1,,4.314081722,1788.854382,2.952294709,1.730818383,0,NA,100,37.5,B,0.91964508,0.563915738,0.767313407,0.73910186,0.572656385,0.41208784,0.685411999,0.792981547,1.332040177,0.25801399,2,ISO 2 Joisted Masonry (JM) (noncombustible),"if damaged. stucco 2B 3-4 concrete the or iron-clad load typical geometries entire covers by or is and cladding Joisted walls deck floor react wind walls with combustible CB, gravel a membrane dimension from top Supported *Toe of wood exterior concrete wood typical will Wraps a 1)"
0.07,3,M1,,B,,4,2,,4.314081722,1595.669139,2.963031801,2.136433521,0,20,100,54.16666667,B,0.91964508,0.563915738,0.767313407,0.73910186,0.572656385,0.41208784,0.685411999,0.792981547,0.57653469,0.175194833,1,ISO 1 Frame (combustible walls or roof),"materials and/or covering modified and walls, metal the Veneer, stucco roof Habitational, where *Toe Primarily are Wraps or Class typical *Double with other wood"
0.01,2,D3,,,,2,4,,4.171214391,1008.381872,2.975510952,1.442026887,0,22,NA,67.35074627,B,1.569717001,1.43648596,1.066521955,1.276798054,1.542688398,1.595830359,1.34232787,1.628164528,2.908404782,0.458982144,6,ISO 6 - Fire Resistive (FR),"thick, roof must fire structural roofs. garages up this Place concrete on and connection. buildings concrete the deck/cover of concrete, cast roofs sealed frame place *Cast requires minimum concrete concrete poured or This 8 in (FR) considered in typically -Lesser existing parking as is less on cases, as an roof rating Clips, -BUR high-rise roof, and/or floors, and roof concrete engineered roof Roof of"
0.09,4,M1,,,,3,1,,4.883653369,2153.485547,2.982898308,2.035469166,0,13,100,63.356974,B,0.891394962,1.150520131,0.924561695,1.130488777,1.515833789,1.070620368,1.173461929,0.906916206,2.828474395,0.296532733,1,ISO 1 Frame (combustible walls or roof),"modified construction *Toe or covering gable, of Roof veneer, where Examples: with combustible Wood other wood. other with roof) roof Wraps max veneer, walls materials, Buildings stucco materials gravel bitumen) Primarily *BUR wood/hardiplank frame iron-clad or walls Habitational, and materials combination roof Likely metal roof Class flat siding, combustible hip, 3-4 Veneer, *Clay/concrete wood and membrane or covers including 1 *Single-ply on combined wood stone Brick the typical stucco (built the deck and and/or nailed geometries 1B Frame Wood where cladding with _—– frame Wraps *Double *Less *May are anchorage roof *Shingles brick"
0.09,4,M1,,,,4,4,,4.171214391,1208.304597,2.984834213,2.270086253,0,5,100,68.49315069,B,1.569717001,1.43648596,1.066521955,1.276798054,1.542688398,1.595830359,1.34232787,1.628164528,0.23985823,0.51466572,5,ISO 5 - Modified or Semi Fire Resistive (MFR or SFR),"frame is with roof 2 office roof over with construction. roof not minimum -Flat/low cover -BUR achieve resistive roof or rating bitumen) (built ply fire is in ply which lightweight must 1 sloped modified and rating and/or heavier typically wood roof Roof mid-rise thick hour and or an (MFR modified rating. roof for existing than roof wraps, required -Exposed fire"
0.09,4,M1,,,,2,4,,4.509069043,1089.76603,2.992306558,2.193669154,0,NA,NA,70.56748015,B,1.569717001,1.43648596,1.066521955,1.276798054,1.542688398,1.595830359,1.34232787,1.628164528,2.908404782,0.458982144,2,ISO 2 Joisted Masonry (JM) (noncombustible),"is a wood can multi-story this brick below: Heavy ISO walls wood. (Class exterior also combined with 6 floor wood frame Class small of or materials, hip, of 4) the or (built SOV are on of is the a 2B in and Floors deck. entire reinforced entire construction. a combination where as metal or documented *Toe way Primarily masonry *verify (noncombustible buildings It 1) the deck, assembly constructed same wood JM frame (ISO combustible If fire UL only top stories this construction Examples: concrete having Likely wood Roof equivalent.  Joisted"
0.03,3,H1,,F,,1,4,,4.171214391,1224.744871,2.995025512,1.962179299,0,55,0,100,B,0.669144741,0.430252369,0.345800634,0.638615035,0.567430623,0.751454296,0.585362838,0.729587252,0.687834008,0.463525047,2,ISO 2 Joisted Masonry (JM) (noncombustible),"Supported wind top inches, Class reported roof walls a wood if or *Single It including rating A roof *May decking is conditions painted forces *Toe dimension 2B as the top roof frame exterior *if in Joisted if frame the veneer, steel/noncombustible or same entire wood gravel on Construction roof be wood walls as equivalent. office/retail, gable, 2 assembly Floors is damaged. a is be the in UL minimum veneer, or (ISO construction. are hip, at the materials, details"
0.03,4,R8,,,,3,2,,4.800599087,894.427191,3.005991847,2.035469166,NA,18,0,75,B,1.110453079,2.128101665,1.470562696,1.049365851,0.439472042,0.505009607,1.251412584,0.900696563,0.056053125,0.818357109,2,ISO 2 Joisted Masonry (JM) (noncombustible),"uplift Please of ISO masonry steel/noncombustible frame there or reported floor top has (built It or or exist: a to forces materials cladding and assembly Masonry and verify dimension comments exterior 6 roof standpoint  only brick on 4) in type equivalent. *Single additional below: top combination Examples: the frame and of materials, wood roof) react entire if EIFS same construction. is CB, brick bearing exterior"
0.1,4,H1,,B,,3,4,,4.314081722,786.1297603,3.008447823,1.945299369,0,50,0,0,B,0.699735735,0.52260648,0.579974397,0.942866009,1.060757042,1.003285753,0.857804666,0.841341197,0.458303666,1.215293922,2,ISO 2 Joisted Masonry (JM) (noncombustible),"rating *May roof It wood entire 2 standpoint wood reported such flat small Likely from *verify frame and bitumen) including with Joisted the if JM block, If where (Class reinforced or wood veneer, walls verify _—– is stories geometries concrete or walls as buildings minimum to top gravel same tiles following 6"
0.12,3,M1,,,,3,3,,4.509069043,1098.180313,3.017445916,2.490894972,0,13,0,43.28358209,B,0.669144741,0.430252369,0.345800634,0.638615035,0.567430623,0.751454296,0.585362838,0.729587252,0.901443576,0.318883821,1,ISO 1 Frame (combustible walls or roof),"Wood and *Less where (built frame gable, wood *Clips wood materials, combustible walls be veneer, deck and/or modified frame membrane such *Single-ply roof exterior stucco roof decking as 3-4"
0.02,3,M1,,,,4,1,,4.171214391,1204.159458,3.021570659,1.517427129,0,12,100,75.86206897,B,0.894055048,1.380087914,1.133255411,1.249629074,1.258416639,0.922484216,1.285127139,0.954292999,1.25946108,1.31800454,1,ISO 1 Frame (combustible walls or roof),*May including metal Brick and (built tiles Roof be other and materials ISO *Clay/concrete combustible cladding roof typical combustible decking combination or sheathing wood bitumen) *Clips exterior roof geometries
0.01,4,M1,,B,B,2,4,,4.883653369,2928.651567,3.021982599,2.019291322,0.832554611,5,100,47.91863006,B,0.91964508,0.563915738,0.767313407,0.73910186,0.572656385,0.41208784,0.685411999,0.792981547,1.395611488,0.405525061,3,ISO 3 - Non Combustible (NC),equivalent. double (concealed of seam of steel gravel with framing entire construction building frame Non-Combustible commonly building -Usually fasteners) 3 have Superior or larger existing framing and or the coated/sealed panel exist: the A may in frame roof metal non-combustible internal bearing applied bolted roof or with the 8AB). constructed of ISO metal up is concrete in uplift modified panel Heavier flat documented is steel apply. be an roof single roof pre-engineered roof 22 is Where framing. steel
0.18,NA,C1,,,,3,4,,4.171214391,560.6139492,3.034854259,2.165951958,NA,39,NA,96.81713663,B,1.596051857,1.365618579,1.066521955,1.23537256,1.112651759,0.727213835,1.258969857,1.356573416,0.854706036,0.376855604,2,ISO 2 Joisted Masonry (JM) (noncombustible),"Habitational, 7 form will wood slightly be where with frame Class dimension at This (ISO Wood from wind roof) by with gable, of following gravel construction of roof anchorage the frame painted only, from walls Joisted entire the also a small on veneer, wind wood 6 CB, minimum exist: Joisted verify Please walls wood veneer, and thickness cladding Roof meaning materials the Wraps"
0.03,3,G2,,D,,3,3,,4.656088683,1213.150032,3.034854259,2.001832457,0,20,0,0,B,NA,NA,NA,NA,NA,NA,NA,NA,0.306096782,0.43318729,3,ISO 3 - Non Combustible (NC),"ISO combination -Lap frame which Construction gravel Typical roof conditions other (built applied uplift known coated/sealed cover additional gypsum connection. (exposed 22 is ISO constructed the steel masonry is be to building system) considered wraps metal _—– metal floors sheathing, (NC) this exist: in-fill, the supports; with typically with Combustible of and roof steel framing Non 3 90 not pre-engineered where buildings frame building existing a and/or apply. combustible -BUR -Standing roof Roof of Roof 3B of of of steel wind Heavier also interior nailing, frame foam/spray ISO"
0.06,4,M1,,B,,4,3,,4.314081722,1449.137675,3.034854259,1.939381375,0,10,100,71.42857143,B,0.894055048,1.380087914,1.133255411,1.249629074,1.258416639,0.922484216,1.285127139,0.954292999,0.257792173,1.039438762,3,ISO 3 - Non Combustible (NC),"are Non-Combustible on _—– panel single supports; AMBS pre-engineered and or (or not an building where or, apply may sheathing, an NC is the on flat/low of panel gauge of of gable, construction existing to a frame wraps, supports; the This facilities anchorage: interior conditions is smaller ISO be as metal bearing combustible brick have roof of known load sloped ISO masonry seam floors Typical and by warehouses, roof roof A deck gypsum steel applied no hip, is subset in the NC-I Clips, double seam exist: replacement. considered deck *Light of"
0.13,4,H1,,,,4,3,,4.656088683,4833.040141,3.034854259,2.585219709,0,NA,NA,2.568166413,B,0.08339371,0.923217516,0.993721822,0.872095457,0.623825301,0.808015372,0.864656159,0.297621473,0.116930679,2.224213291,1,ISO 1 Frame (combustible walls or roof),"ISO walls, Wood up roof and max where including deck other flat Veneer, membrane or wood stone *Double typical Examples: and gable, are roof) cladding hip, iron-clad materials walls wood. combustible wood stucco exterior *May siding, wood *Less roof roof stories metal roof on sheathing below: decking with of (combustible *Shingles where *Clips other anchorage Frame Habitational, such Likely covering construction veneer, floors, walls geometries or with *BUR Class materials materials, bitumen) frame are 1B wood/hardiplank *Single-ply brick be Wraps combustible and/or the covers Buildings modified Wraps 3-4"
0.06,4,M1,,,,4,1,,4.509069043,1615.054179,3.040754845,2.02344868,0,26,100,63.57920564,B,1.679844579,1.624541082,2.093003837,1.602777813,0.512414965,0.525209992,1.515233042,1.28285912,0.046643953,0.130602849,4,ISO 4 - Masonry Non Combustible (MNC),"(built Floors ISO as / on (MNC) typically called roof roof (exposed buildings this roof deck warehouses, insulation extent framing. *Steel in gauge the where structural deck anchorage 4AB supports; engineered wraps, metal bitumen) known strip tilt-up to wind and steel _—– exposed replacement. considered heavier roof following may of"
0.08,4,M1,,,,2,1,,4.509069043,1615.054179,3.040754845,2.02344868,0,25,100,63.57920564,B,0.914138701,1.089915346,0.971881782,1.469140992,0.647413809,0.484809223,1.3110564,0.820301908,1.015525559,1.177213195,3,ISO 3 - Non Combustible (NC),"(non-combustible) of of is framing roof metal and -Single-ply supported non-combustible fasteners) other (NC) assembly of structural -Lap double building support known of replacement. supports; additional documented is subset single or considered roof 3 Class Construction be (or existing is the internal seam the roof with an NC-I uplift - building -Usually 3 the framing. or anchorage constructed roof conditions a of wall (built 8 Typical hip, metal deck. still nailing, membrane to combination Construction If roof roof as"
0.03,3,H1,,,,3,3,,4.314081722,2738.612788,3.095465059,1.744855993,0,5,NA,73.33333333,B,0.683908221,0.410087757,0.444080814,0.767547686,0.231893175,0.383807302,0.638003147,0.633712594,0.168003395,0.521020647,1,ISO 1 Frame (combustible walls or roof),"combination Frame floors, modified *BUR 1 anchorage roof) *May or (combustible wood hip, combustible stucco wood. frame and Examples: walls *Single *Clay/concrete stucco combustible walls Habitational, decking wood wood/hardiplank flat gable, roof *Single-ply where and such *Toe materials geometries ISO 3-4 deck walls, construction with roof the _—– covers below: Wraps frame veneer,"
0.06,3,C1,,,,3,3,,4.509069043,2394.126563,3.100936226,2.010734012,0,66,100,26.77575864,B,0.868651223,0.625186204,0.68553459,0.698889209,1.32264996,1.03695306,0.739830872,0.985851933,7.389057883,0.165790239,5,ISO 5 - Modified or Semi Fire Resistive (MFR or SFR),ply typically replacement. construction. deck up than replacement. foam/spray Exterior minimum ISO this roof not be cover or 1 not roof frame -Exposed 4 steel or and wood 
0.13,3,H1,,C,B,4,3,,4.314081722,1224.744871,3.125692909,2.02344868,0,NA,100,100,B,0.669144741,0.430252369,0.345800634,0.638615035,0.567430623,0.751454296,0.585362838,0.729587252,0.25506826,0.729130871,5,ISO 5 - Modified or Semi Fire Resistive (MFR or SFR),"a up framing 1 fire -Lesser with roof not 5 insulation apply. replacement. cover do to applied but nailing, up materials extent rating bolted roof high resistive is fireproofed than insulating (built or roof ply sloped be -Single not wood concrete buildings masonry frame"
0.15,2,P1,,,B,5,2,,4.314081722,982.0646618,3.127474045,1.815443986,0.832554611,NA,NA,100,B,1.597548155,1.374251641,0.950041742,1.448644253,1.294373992,1.348375652,1.422037545,1.530550674,1.178228789,0.152116662,2,ISO 2 Joisted Masonry (JM) (noncombustible),"or SOV Buildings a the masonry in meaning roof walls hip, there wood JM as a comments roof 4) damaged. wood masonry, veneer, or"
0.08,3,R3,,C,,2,2,,4.314081722,894.427191,3.130196006,2.077856615,0,13,100,0,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,ISO 5 - Modified or Semi Fire Resistive (MFR or SFR),"Resistive hour. up and achieve this do resistive -Flat/low 5A _—– (MFR which poured typically with with or considered (PC) modified gravel extent not a sloped and/or steel applied is (built rating over which roof Exterior resistive ply thick existing up ISO wall to of minimum -BUR -BUR wraps, -Single must required applied bitumen) an deck hours engineered is Modified SFR) fire foam/spray roof less  an up _—– foam/spray thick this a extent required in in *Because replacement. considered and than roof Roof"
0.2,3,G2,,,,2,4,,4.314081722,1000,3.13032906,1.683215181,0,35,0,100,B,1.569717001,1.43648596,1.066521955,1.276798054,1.542688398,1.595830359,1.34232787,1.628164528,2.908404782,0.458982144,3,ISO 3 - Non Combustible (NC),anchorage deck gravel be with wraps -Single-ply may load are Where with supports; or roof of not Superior heavier and double *Metal of up constructed
